States,Payment_type,Transaction_count,Amount in Millions,Year,Quarter,state_code,Latitude,Longitude
Gujarat,Peer-to-peer payments,1738974,6318.86,2018,1st Quarter,24.0,22.6708,71.5724
Gujarat,Merchant payments,145436,166.04,2018,1st Quarter,24.0,22.6708,71.5724
Gujarat,Financial Services,122117,27.99,2018,1st Quarter,24.0,22.6708,71.5724
Gujarat,Others,250296,186.17,2018,1st Quarter,24.0,22.6708,71.5724
Gujarat,Recharge & bill payments,4643367,1571.88,2018,2nd Quarter,24.0,22.6708,71.5724
Gujarat,Peer-to-peer payments,2483231,10009.68,2018,2nd Quarter,24.0,22.6708,71.5724
Gujarat,Merchant payments,275503,356.98,2018,2nd Quarter,24.0,22.6708,71.5724
Gujarat,Financial Services,140704,38.6,2018,2nd Quarter,24.0,22.6708,71.5724
Gujarat,Others,202928,185.54,2018,2nd Quarter,24.0,22.6708,71.5724
Gujarat,Peer-to-peer payments,5287200,15272.75,2018,3rd Quarter,24.0,22.6708,71.5724
Gujarat,Recharge & bill payments,5117168,1938.04,2018,3rd Quarter,24.0,22.6708,71.5724
Gujarat,Merchant payments,573440,466.21,2018,3rd Quarter,24.0,22.6708,71.5724
Gujarat,Financial Services,136468,24.93,2018,3rd Quarter,24.0,22.6708,71.5724
Gujarat,Others,219873,164.48,2018,3rd Quarter,24.0,22.6708,71.5724
Gujarat,Peer-to-peer payments,6488202,21207.29,2018,4th Quarter,24.0,22.6708,71.5724
Gujarat,Recharge & bill payments,6138404,2297.33,2018,4th Quarter,24.0,22.6708,71.5724
Gujarat,Merchant payments,1656377,1088.37,2018,4th Quarter,24.0,22.6708,71.5724
Gujarat,Financial Services,133915,30.7,2018,4th Quarter,24.0,22.6708,71.5724
Gujarat,Others,316405,207.3,2018,4th Quarter,24.0,22.6708,71.5724
Haryana,Recharge & bill payments,2368002,535.58,2018,1st Quarter,6.0,28.45000633,77.01999101
Haryana,Peer-to-peer payments,1607193,5814.81,2018,1st Quarter,6.0,28.45000633,77.01999101
Haryana,Merchant payments,167816,173.51,2018,1st Quarter,6.0,28.45000633,77.01999101
Haryana,Financial Services,128636,27.5,2018,1st Quarter,6.0,28.45000633,77.01999101
Haryana,Others,209123,242.11,2018,1st Quarter,6.0,28.45000633,77.01999101
Haryana,Recharge & bill payments,3054284,984.9,2018,2nd Quarter,6.0,28.45000633,77.01999101
Haryana,Peer-to-peer payments,2388953,9745.92,2018,2nd Quarter,6.0,28.45000633,77.01999101
Haryana,Merchant payments,369916,334.12,2018,2nd Quarter,6.0,28.45000633,77.01999101
Haryana,Financial Services,167570,38.15,2018,2nd Quarter,6.0,28.45000633,77.01999101
Haryana,Others,170208,217.33,2018,2nd Quarter,6.0,28.45000633,77.01999101
Haryana,Peer-to-peer payments,3753981,14429.45,2018,3rd Quarter,6.0,28.45000633,77.01999101
Haryana,Recharge & bill payments,3203386,1310.47,2018,3rd Quarter,6.0,28.45000633,77.01999101
